match,teamInnings,battingPos,batsmanName,runs,balls,4s,6s,SR,out/not_out,match_id
Australia Vs New Zealand,New Zealand,5,Tom Latham (c),21,22,2,0,95.45,out,ODI # 4684
Australia Vs New Zealand,New Zealand,6,Glenn Phillips,12,16,1,0,75.00,out,ODI # 4684
Australia Vs New Zealand,New Zealand,7,James Neesham,58,39,3,3,148.71,out,ODI # 4684
Australia Vs New Zealand,New Zealand,8,Mitchell Santner,17,12,1,1,141.66,out,ODI # 4684
Australia Vs New Zealand,New Zealand,9,Matt Henry,9,8,1,0,112.50,out,ODI # 4684
Australia Vs New Zealand,New Zealand,10,Trent Boult,10,8,0,1,125.00,not_out,ODI # 4684
Australia Vs New Zealand,New Zealand,11,Lockie Ferguson,0,1,0,0,0.00,not_out,ODI # 4684
India Vs South Africa,India,1,Rohit Sharma (c),40,24,6,2,166.66,out,ODI # 4694
India Vs South Africa,India,2,Shubman Gill,23,24,4,1,95.83,out,ODI # 4694
India Vs South Africa,India,3,Virat Kohli,101,121,10,0,83.47,not_out,ODI # 4694
India Vs South Africa,India,4,Shreyas Iyer,77,87,7,2,88.50,out,ODI # 4694
India Vs South Africa,India,5,KL Rahul,8,17,0,0,47.05,out,ODI # 4694
India Vs South Africa,India,6,Suryakumar Yadav,22,14,5,0,157.14,out,ODI # 4694
India Vs South Africa,India,7,Ravindra Jadeja,29,15,3,1,193.33,not_out,ODI # 4694
India Vs South Africa,South Africa,1,Quinton de Kock,5,10,1,0,50.00,out,ODI # 4694
India Vs South Africa,South Africa,2,Temba Bavuma (c),11,19,1,0,57.89,out,ODI # 4694
India Vs South Africa,South Africa,3,Rassie van der Dussen,13,32,1,0,40.62,out,ODI # 4694
India Vs South Africa,South Africa,4,Aiden Markram,9,6,2,0,150.00,out,ODI # 4694
India Vs South Africa,South Africa,5,Heinrich Klaasen,1,11,0,0,9.09,out,ODI # 4694
India Vs South Africa,South Africa,6,David Miller,11,11,2,0,100.00,out,ODI # 4694
India Vs South Africa,South Africa,7,Marco Jansen,14,30,1,0,46.66,out,ODI # 4694
India Vs South Africa,South Africa,8,Keshav Maharaj,7,11,1,0,63.63,out,ODI # 4694
India Vs South Africa,South Africa,9,Kagiso Rabada,6,26,0,0,23.07,out,ODI # 4694
India Vs South Africa,South Africa,10,Lungi Ngidi,0,3,0,0,0.00,out,ODI # 4694
India Vs South Africa,South Africa,11,Tabraiz Shamsi,4,4,1,0,100.00,not_out,ODI # 4694
Sri Lanka Vs Australia,Sri Lanka,1,Pathum Nissanka,61,67,8,0,91.04,out,ODI # 4671
Sri Lanka Vs Australia,Sri Lanka,2,Kusal Perera,78,82,12,0,95.12,out,ODI # 4671
Sri Lanka Vs Australia,Sri Lanka,3,Kusal Mendis (c),9,13,0,0,69.23,out,ODI # 4671
Sri Lanka Vs Australia,Sri Lanka,4,Sadeera Samarawickrama,8,8,1,0,100.00,out,ODI # 4671
Sri Lanka Vs Australia,Sri Lanka,5,Charith Asalanka,25,39,0,1,64.10,out,ODI # 4671
Sri Lanka Vs Australia,Sri Lanka,6,Dhananjaya de Silva,7,13,1,0,53.84,out,ODI # 4671
Sri Lanka Vs Australia,Sri Lanka,7,Dunith Wellalage,2,9,0,0,22.22,out,ODI # 4671
Sri Lanka Vs Australia,Sri Lanka,8,Chamika Karunaratne,2,11,0,0,18.18,out,ODI # 4671
Sri Lanka Vs Australia,Sri Lanka,9,Maheesh Theekshana,0,5,0,0,0.00,out,ODI # 4671
Sri Lanka Vs Australia,Sri Lanka,10,Lahiru Kumara,4,8,1,0,50.00,out,ODI # 4671
Sri Lanka Vs Australia,Sri Lanka,11,Dilshan Madushanka,0,6,0,0,0.00,not_out,ODI # 4671
Sri Lanka Vs Australia,Australia,1,Mitchell Marsh,52,51,9,0,101.96,out,ODI # 4671
Sri Lanka Vs Australia,Australia,2,David Warner,11,6,0,1,183.33,out,ODI # 4671
Sri Lanka Vs Australia,Australia,3,Steven Smith,0,5,0,0,0.00,out,ODI # 4671
Sri Lanka Vs Australia,Australia,4,Marnus Labuschagne,40,60,2,0,66.66,out,ODI # 4671
Sri Lanka Vs Australia,Australia,5,Josh Inglis,58,59,5,1,98.30,out,ODI # 4671
Sri Lanka Vs Australia,Australia,6,Glenn Maxwell,31,21,4,2,147.61,not_out,ODI # 4671
Sri Lanka Vs Australia,Australia,7,Marcus Stoinis,20,10,2,1,200.00,not_out,ODI # 4671
Pakistan Vs South Africa,Pakistan,1,Abdullah Shafique,9,17,1,0,52.94,out,ODI # 4683
Pakistan Vs South Africa,Pakistan,2,Imam-ul-Haq,12,18,2,0,66.66,out,ODI # 4683
Pakistan Vs South Africa,Pakistan,3,Babar Azam (c),50,65,4,1,76.92,out,ODI # 4683
Pakistan Vs South Africa,Pakistan,4,Mohammad Rizwan,31,27,4,1,114.81,out,ODI # 4683
Pakistan Vs South Africa,Pakistan,5,Iftikhar Ahmed,21,31,1,1,67.74,out,ODI # 4683
Pakistan Vs South Africa,Pakistan,6,Saud Shakeel,52,52,7,0,100.00,out,ODI # 4683
Pakistan Vs South Africa,Pakistan,7,Shadab Khan,43,36,3,2,119.44,out,ODI # 4683
Pakistan Vs South Africa,Pakistan,8,Mohammad Nawaz,24,24,1,2,100.00,out,ODI # 4683
Pakistan Vs South Africa,Pakistan,9,Shaheen Shah Afridi,2,4,0,0,50.00,out,ODI # 4683
Pakistan Vs South Africa,Pakistan,10,Mohammad Wasim,7,9,0,1,77.77,out,ODI # 4683
Pakistan Vs South Africa,Pakistan,11,Haris Rauf,0,1,0,0,0.00,not_out,ODI # 4683
Pakistan Vs South Africa,South Africa,1,Temba Bavuma (c),28,27,4,1,103.70,out,ODI # 4683
Pakistan Vs South Africa,South Africa,2,Quinton de Kock,24,14,5,0,171.42,out,ODI # 4683
Pakistan Vs South Africa,South Africa,3,Rassie van der Dussen,21,39,0,0,53.84,out,ODI # 4683
Pakistan Vs South Africa,South Africa,4,Aiden Markram,91,93,7,3,97.84,out,ODI # 4683
Pakistan Vs South Africa,South Africa,5,Heinrich Klaasen,12,10,0,1,120.00,out,ODI # 4683
Pakistan Vs South Africa,South Africa,6,David Miller,29,33,2,2,87.87,out,ODI # 4683
Pakistan Vs South Africa,South Africa,7,Marco Jansen,20,14,2,1,142.85,out,ODI # 4683
Pakistan Vs South Africa,South Africa,8,Gerald Coetzee,10,13,0,0,76.92,out,ODI # 4683
Pakistan Vs South Africa,South Africa,9,Keshav Maharaj,7,21,1,0,33.33,not_out,ODI # 4683
Pakistan Vs South Africa,South Africa,10,Lungi Ngidi,4,14,0,0,28.57,out,ODI # 4683
Pakistan Vs South Africa,South Africa,11,Tabraiz Shamsi,4,6,0,0,66.66,not_out,ODI # 4683
Sri Lanka Vs Afghanistan,Sri Lanka,1,Pathum Nissanka,46,60,5,0,76.66,out,ODI # 4687
Sri Lanka Vs Afghanistan,Sri Lanka,2,Dimuth Karunaratne,15,21,1,0,71.42,out,ODI # 4687
Sri Lanka Vs Afghanistan,Sri Lanka,3,Kusal Mendis (c),39,50,3,0,78.00,out,ODI # 4687
Sri Lanka Vs Afghanistan,Sri Lanka,4,Sadeera Samarawickrama,36,40,3,0,90.00,out,ODI # 4687
Sri Lanka Vs Afghanistan,Sri Lanka,5,Charith Asalanka,22,28,2,0,78.57,out,ODI # 4687
Sri Lanka Vs Afghanistan,Sri Lanka,6,Dhananjaya de Silva,14,26,1,0,53.84,out,ODI # 4687
Sri Lanka Vs Afghanistan,Sri Lanka,7,Angelo Mathews,23,26,1,1,88.46,out,ODI # 4687
Sri Lanka Vs Afghanistan,Sri Lanka,8,Dushmantha Chameera,1,4,0,0,25.00,out,ODI # 4687
Sri Lanka Vs Afghanistan,Sri Lanka,9,Maheesh Theekshana,29,31,3,1,93.54,out,ODI # 4687
Sri Lanka Vs Afghanistan,Sri Lanka,10,Kasun Rajitha,5,7,0,0,71.42,out,ODI # 4687
Sri Lanka Vs Afghanistan,Sri Lanka,11,Dilshan Madushanka,0,4,0,0,0.00,not_out,ODI # 4687
Sri Lanka Vs Afghanistan,Afghanistan,1,Rahmanullah Gurbaz,0,4,0,0,0.00,out,ODI # 4687
Sri Lanka Vs Afghanistan,Afghanistan,2,Ibrahim Zadran,39,57,4,1,68.42,out,ODI # 4687
Sri Lanka Vs Afghanistan,Afghanistan,3,Rahmat Shah,62,74,7,0,83.78,out,ODI # 4687
Sri Lanka Vs Afghanistan,Afghanistan,4,Hashmatullah Shahidi (c),58,74,2,1,78.37,not_out,ODI # 4687
Sri Lanka Vs Afghanistan,Afghanistan,5,Azmatullah Omarzai,73,63,6,3,115.87,not_out,ODI # 4687
Australia Vs England,Australia,1,Travis Head,11,10,1,0,110.00,out,ODI # 4693
Australia Vs England,Australia,2,David Warner,15,16,1,1,93.75,out,ODI # 4693
Australia Vs England,Australia,3,Steven Smith,44,52,3,0,84.61,out,ODI # 4693
Australia Vs England,Australia,4,Marnus Labuschagne,71,83,7,0,85.54,out,ODI # 4693
Australia Vs England,Australia,5,Josh Inglis,3,6,0,0,50.00,out,ODI # 4693
Australia Vs England,Australia,6,Cameron Green,47,52,5,0,90.38,out,ODI # 4693
Australia Vs England,Australia,7,Marcus Stoinis,35,32,3,2,109.37,out,ODI # 4693
Australia Vs England,Australia,8,Pat Cummins (c),10,13,1,0,76.92,out,ODI # 4693
Australia Vs England,Australia,9,Mitchell Starc,10,13,0,0,76.92,out,ODI # 4693
Australia Vs England,Australia,10,Adam Zampa,29,19,4,0,152.63,out,ODI # 4693
Australia Vs England,Australia,11,Josh Hazlewood,1,1,0,0,100.00,not_out,ODI # 4693
Australia Vs England,England,1,Jonny Bairstow,0,1,0,0,0.00,out,ODI # 4693
Australia Vs England,England,2,Dawid Malan,50,64,4,1,78.12,out,ODI # 4693
Australia Vs England,England,3,Joe Root,13,17,2,0,76.47,out,ODI # 4693
Australia Vs England,England,4,Ben Stokes,64,90,2,3,71.11,out,ODI # 4693
Australia Vs England,England,5,Jos Buttler (c),1,7,0,0,14.28,out,ODI # 4693
Australia Vs England,England,6,Moeen Ali,42,43,6,0,97.67,out,ODI # 4693
Australia Vs England,England,7,Liam Livingstone,2,5,0,0,40.00,out,ODI # 4693
Australia Vs England,England,8,Chris Woakes,32,33,4,1,96.96,out,ODI # 4693
Australia Vs England,England,9,David Willey,15,14,3,0,107.14,out,ODI # 4693
Australia Vs England,England,10,Adil Rashid,20,15,1,1,133.33,out,ODI # 4693
Australia Vs England,England,11,Mark Wood,0,0,0,0,-,not_out,ODI # 4693
Australia Vs Netherlands,Australia,1,Mitchell Marsh,9,15,2,0,60.00,out,ODI # 4681
Australia Vs Netherlands,Australia,2,David Warner,104,93,11,3,111.82,out,ODI # 4681
Australia Vs Netherlands,Australia,3,Steven Smith,71,68,9,1,104.41,out,ODI # 4681
Australia Vs Netherlands,Australia,4,Marnus Labuschagne,62,47,7,2,131.91,out,ODI # 4681
Australia Vs Netherlands,Australia,5,Josh Inglis,14,12,1,1,116.66,out,ODI # 4681
Australia Vs Netherlands,Australia,6,Glenn Maxwell,106,44,9,8,240.90,out,ODI # 4681
Australia Vs Netherlands,Australia,7,Cameron Green,8,11,1,0,72.72,out,ODI # 4681
